zip;ruca;state
01225;2.0;Massachusetts
01226;1.0;Massachusetts
01227;1.0;Massachusetts
01229;3.0;Massachusetts
01230;7.3;Massachusetts
01235;2.0;Massachusetts
01236;7.3;Massachusetts
01237;1.0;Massachusetts
01238;7.3;Massachusetts
01240;7.3;Massachusetts
01242;7.3;Massachusetts
01243;2.0;Massachusetts
01244;7.3;Massachusetts
01245;10.6;Massachusetts
01247;4.2;Massachusetts
01252;7.3;Massachusetts
01253;10.4;Massachusetts
01254;2.0;Massachusetts
01255;10.4;Massachusetts
01256;5.2;Massachusetts
01257;10.6;Massachusetts
01258;9.0;Massachusetts
01259;9.0;Massachusetts
01260;7.3;Massachusetts
01262;9.0;Massachusetts
01263;9.0;Massachusetts
01264;7.3;Massachusetts
01266;3.0;Massachusetts
01267;4.2;Massachusetts
01270;2.0;Massachusetts
01301;4.2;Massachusetts
01302;4.2;Massachusetts
01330;10.5;Massachusetts
01331;4.2;Massachusetts
01337;5.0;Massachusetts
01338;10.5;Massachusetts
01339;6.0;Massachusetts
01340;6.0;Massachusetts
01341;10.5;Massachusetts
01342;3.0;Massachusetts
01343;5.2;Massachusetts
01344;6.0;Massachusetts
01346;6.0;Massachusetts
01347;4.2;Massachusetts
01349;4.2;Massachusetts
01350;6.0;Massachusetts
01351;4.2;Massachusetts
01354;5.0;Massachusetts
01355;6.1;Massachusetts
01360;5.0;Massachusetts
01364;4.2;Massachusetts
01366;3.0;Massachusetts
01367;6.0;Massachusetts
01368;2.1;Massachusetts
01370;10.5;Massachusetts
01373;3.0;Massachusetts
01375;4.1;Massachusetts
01376;4.2;Massachusetts
01378;6.0;Massachusetts
01379;6.0;Massachusetts
01380;6.0;Massachusetts
01420;1.0;Massachusetts
01430;2.1;Massachusetts
01431;2.1;Massachusetts
01432;1.0;Massachusetts
01434;1.0;Massachusetts
01436;1.0;Massachusetts
01438;1.0;Massachusetts
01440;1.0;Massachusetts
01441;1.0;Massachusetts
01450;1.0;Massachusetts
01451;2.0;Massachusetts
01452;2.1;Massachusetts
01453;1.0;Massachusetts
01460;1.0;Massachusetts
01462;1.0;Massachusetts
01463;2.0;Massachusetts
01464;1.0;Massachusetts
01467;2.0;Massachusetts
01468;1.0;Massachusetts
01469;1.0;Massachusetts
01470;1.0;Massachusetts
01471;1.0;Massachusetts
01472;1.0;Massachusetts
01473;1.0;Massachusetts
01474;1.0;Massachusetts
01475;2.0;Massachusetts
01477;2.0;Massachusetts
01501;1.0;Massachusetts
01503;2.0;Massachusetts
01504;1.0;Massachusetts
01505;1.0;Massachusetts
01506;2.0;Massachusetts
01507;2.0;Massachusetts
01508;2.0;Massachusetts
01509;2.0;Massachusetts
01510;1.0;Massachusetts
01515;2.0;Massachusetts
01516;1.0;Massachusetts
01517;2.1;Massachusetts
01518;1.0;Massachusetts
01519;1.0;Massachusetts
01520;1.0;Massachusetts
01521;2.1;Massachusetts
01522;1.0;Massachusetts
01523;1.0;Massachusetts
01524;1.0;Massachusetts
01525;1.0;Massachusetts
01526;1.0;Massachusetts
01527;1.0;Massachusetts
01529;1.0;Massachusetts
01531;2.1;Massachusetts
01532;1.0;Massachusetts
01534;1.0;Massachusetts
01535;2.0;Massachusetts
01536;1.0;Massachusetts
01537;1.0;Massachusetts
01538;1.0;Massachusetts
01540;1.0;Massachusetts
01541;2.1;Massachusetts
01542;1.0;Massachusetts
01543;1.0;Massachusetts
01545;1.0;Massachusetts
01546;1.0;Massachusetts
01550;1.0;Massachusetts
01560;1.0;Massachusetts
01561;1.0;Massachusetts
01562;1.0;Massachusetts
01564;1.0;Massachusetts
01566;1.0;Massachusetts
01568;1.0;Massachusetts
01569;1.0;Massachusetts
01570;1.0;Massachusetts
01571;1.0;Massachusetts
01580;1.0;Massachusetts
01581;1.0;Massachusetts
01582;1.0;Massachusetts
01583;1.0;Massachusetts
01585;2.0;Massachusetts
01586;1.0;Massachusetts
01588;1.0;Massachusetts
01590;1.0;Massachusetts
01601;1.0;Massachusetts
01602;1.0;Massachusetts
01603;1.0;Massachusetts
01604;1.0;Massachusetts
01605;1.0;Massachusetts
01606;1.0;Massachusetts
01607;1.0;Massachusetts
01608;1.0;Massachusetts
01609;1.0;Massachusetts
01610;1.0;Massachusetts
01611;1.0;Massachusetts
01612;1.0;Massachusetts
01613;1.0;Massachusetts
01614;1.0;Massachusetts
01615;1.0;Massachusetts
01653;1.0;Massachusetts
01654;1.0;Massachusetts
01655;1.0;Massachusetts
01701;1.0;Massachusetts
01702;1.0;Massachusetts
01703;1.0;Massachusetts
01704;1.0;Massachusetts
01705;1.0;Massachusetts
01718;1.0;Massachusetts
01719;1.0;Massachusetts
01720;1.0;Massachusetts
01721;1.0;Massachusetts
01730;1.0;Massachusetts
01731;1.0;Massachusetts
01740;2.0;Massachusetts
01741;2.0;Massachusetts
01742;1.0;Massachusetts
01745;1.0;Massachusetts
01746;1.0;Massachusetts
01747;1.0;Massachusetts
01748;1.0;Massachusetts
01749;1.0;Massachusetts
01752;1.0;Massachusetts
01754;1.0;Massachusetts
01756;1.0;Massachusetts
01757;1.0;Massachusetts
01760;1.0;Massachusetts
01770;1.0;Massachusetts
01772;1.0;Massachusetts
01773;1.0;Massachusetts
01775;1.0;Massachusetts
01776;1.0;Massachusetts
01778;1.0;Massachusetts
01784;1.0;Massachusetts
01801;1.0;Massachusetts
01803;1.0;Massachusetts
01805;1.0;Massachusetts
01806;1.0;Massachusetts
01807;1.0;Massachusetts
01808;1.0;Massachusetts
01810;1.0;Massachusetts
01812;1.0;Massachusetts
01813;1.0;Massachusetts
01815;1.0;Massachusetts
01821;1.0;Massachusetts
01822;1.0;Massachusetts
01824;1.0;Massachusetts
01826;1.0;Massachusetts
01827;2.0;Massachusetts
01830;1.0;Massachusetts
01831;1.0;Massachusetts
01832;1.0;Massachusetts
01833;1.0;Massachusetts
01834;1.0;Massachusetts
01835;1.0;Massachusetts
01840;1.0;Massachusetts
01841;1.0;Massachusetts
01842;1.0;Massachusetts
01843;1.0;Massachusetts
01844;1.0;Massachusetts
01845;1.0;Massachusetts
01850;1.0;Massachusetts
01851;1.0;Massachusetts
01852;1.0;Massachusetts
01853;1.0;Massachusetts
01854;1.0;Massachusetts
01860;1.0;Massachusetts
01862;1.0;Massachusetts
01863;1.0;Massachusetts
01864;1.0;Massachusetts
01865;1.0;Massachusetts
01866;1.0;Massachusetts
01867;1.0;Massachusetts
01876;1.0;Massachusetts
01879;1.0;Massachusetts
01880;1.0;Massachusetts
01885;1.0;Massachusetts
01886;1.0;Massachusetts
01887;1.0;Massachusetts
01888;1.0;Massachusetts
01889;1.0;Massachusetts
01890;1.0;Massachusetts
01899;1.0;Massachusetts
01901;1.0;Massachusetts
01902;1.0;Massachusetts
01903;1.0;Massachusetts
01904;1.0;Massachusetts
01905;1.0;Massachusetts
01906;1.0;Massachusetts
01907;1.0;Massachusetts
01908;1.0;Massachusetts
01910;1.0;Massachusetts
01913;1.0;Massachusetts
01915;1.0;Massachusetts
01921;1.0;Massachusetts
01922;1.0;Massachusetts
01923;1.0;Massachusetts
01929;1.0;Massachusetts
01930;1.0;Massachusetts
01931;1.0;Massachusetts
01936;1.0;Massachusetts
01937;1.0;Massachusetts
01938;1.0;Massachusetts
01940;1.0;Massachusetts
01944;1.0;Massachusetts
01945;1.0;Massachusetts
01949;1.0;Massachusetts
01950;1.0;Massachusetts
01951;1.0;Massachusetts
01952;1.0;Massachusetts
01960;1.0;Massachusetts
01961;1.0;Massachusetts
01965;1.0;Massachusetts
01966;1.0;Massachusetts
01969;1.0;Massachusetts
01970;1.0;Massachusetts
01971;1.0;Massachusetts
01982;1.0;Massachusetts
01983;1.0;Massachusetts
01984;1.0;Massachusetts
01985;1.0;Massachusetts
02018;1.0;Massachusetts
02019;1.0;Massachusetts
02020;1.0;Massachusetts
02021;1.0;Massachusetts
02025;1.0;Massachusetts
02026;1.0;Massachusetts
02027;1.0;Massachusetts
02030;1.0;Massachusetts
02031;1.0;Massachusetts
02032;1.0;Massachusetts
02035;1.0;Massachusetts
02038;1.0;Massachusetts
02040;1.0;Massachusetts
02041;1.0;Massachusetts
02043;1.0;Massachusetts
02044;1.0;Massachusetts
02045;1.0;Massachusetts
02047;1.0;Massachusetts
02048;1.0;Massachusetts
02050;1.0;Massachusetts
02051;1.0;Massachusetts
02052;1.0;Massachusetts
02053;1.0;Massachusetts
02054;1.0;Massachusetts
02055;1.0;Massachusetts
02056;1.0;Massachusetts
02059;1.0;Massachusetts
02060;1.0;Massachusetts
02061;1.0;Massachusetts
02062;1.0;Massachusetts
02065;1.0;Massachusetts
02066;1.0;Massachusetts
02067;1.0;Massachusetts
02070;1.0;Massachusetts
02071;1.0;Massachusetts
02072;1.0;Massachusetts
02081;1.0;Massachusetts
02090;1.0;Massachusetts
02093;1.0;Massachusetts
02101;1.0;Massachusetts
02102;1.0;Massachusetts
02103;1.0;Massachusetts
02104;1.0;Massachusetts
02105;1.0;Massachusetts
02106;1.0;Massachusetts
02107;1.0;Massachusetts
02108;1.0;Massachusetts
02109;1.0;Massachusetts
02110;1.0;Massachusetts
02111;1.0;Massachusetts
02112;1.0;Massachusetts
02113;1.0;Massachusetts
02114;1.0;Massachusetts
02115;1.0;Massachusetts
02116;1.0;Massachusetts
02117;1.0;Massachusetts
02118;1.0;Massachusetts
02119;1.0;Massachusetts
02120;1.0;Massachusetts
02121;1.0;Massachusetts
02122;1.0;Massachusetts
02123;1.0;Massachusetts
02124;1.0;Massachusetts
02125;1.0;Massachusetts
02126;1.0;Massachusetts
02127;1.0;Massachusetts
02128;1.0;Massachusetts
02129;1.0;Massachusetts
02130;1.0;Massachusetts
02131;1.0;Massachusetts
02132;1.0;Massachusetts
02133;1.0;Massachusetts
02134;1.0;Massachusetts
02135;1.0;Massachusetts
02136;1.0;Massachusetts
02137;1.0;Massachusetts
02138;1.0;Massachusetts
02139;1.0;Massachusetts
02140;1.0;Massachusetts
02141;1.0;Massachusetts
02142;1.0;Massachusetts
02143;1.0;Massachusetts
02144;1.0;Massachusetts
02145;1.0;Massachusetts
02148;1.0;Massachusetts
02149;1.0;Massachusetts
02150;1.0;Massachusetts
02151;1.0;Massachusetts
02152;1.0;Massachusetts
02153;1.0;Massachusetts
02155;1.0;Massachusetts
02156;1.0;Massachusetts
02163;1.0;Massachusetts
02169;1.0;Massachusetts
02170;1.0;Massachusetts
02171;1.0;Massachusetts
02176;1.0;Massachusetts
02180;1.0;Massachusetts
02184;1.0;Massachusetts
02185;1.0;Massachusetts
02186;1.0;Massachusetts
02187;1.0;Massachusetts
02188;1.0;Massachusetts
02189;1.0;Massachusetts
02190;1.0;Massachusetts
02191;1.0;Massachusetts
02196;1.0;Massachusetts
02199;1.0;Massachusetts
02201;1.0;Massachusetts
02203;1.0;Massachusetts
02204;1.0;Massachusetts
02205;1.0;Massachusetts
02206;1.0;Massachusetts
02207;1.0;Massachusetts
02208;1.0;Massachusetts
02209;1.0;Massachusetts
02210;1.0;Massachusetts
02211;1.0;Massachusetts
02212;1.0;Massachusetts
02215;1.0;Massachusetts
02216;1.0;Massachusetts
02217;1.0;Massachusetts
02222;1.0;Massachusetts
02228;1.0;Massachusetts
02238;1.0;Massachusetts
02239;1.0;Massachusetts
02241;1.0;Massachusetts
02266;1.0;Massachusetts
02269;1.0;Massachusetts
02283;1.0;Massachusetts
02284;1.0;Massachusetts
02293;1.0;Massachusetts
02295;1.0;Massachusetts
02297;1.0;Massachusetts
02301;1.0;Massachusetts
02302;1.0;Massachusetts
02303;1.0;Massachusetts
02304;1.0;Massachusetts
02305;1.0;Massachusetts
02322;1.0;Massachusetts
02324;1.0;Massachusetts
02325;1.0;Massachusetts
02327;1.0;Massachusetts
02330;1.0;Massachusetts
02331;1.0;Massachusetts
02332;1.0;Massachusetts
02333;1.0;Massachusetts
02334;1.0;Massachusetts
02337;1.0;Massachusetts
02338;1.0;Massachusetts
02339;1.0;Massachusetts
02340;1.0;Massachusetts
02341;1.0;Massachusetts
02343;1.0;Massachusetts
02344;1.0;Massachusetts
02345;1.0;Massachusetts
02346;1.0;Massachusetts
02347;1.0;Massachusetts
02348;1.0;Massachusetts
02349;1.0;Massachusetts
02350;1.0;Massachusetts
02351;1.0;Massachusetts
02355;1.0;Massachusetts
02356;1.0;Massachusetts
02357;1.0;Massachusetts
02358;1.0;Massachusetts
02359;1.0;Massachusetts
02360;1.0;Massachusetts
02361;1.0;Massachusetts
02362;1.0;Massachusetts
02364;1.0;Massachusetts
02366;1.0;Massachusetts
02367;2.0;Massachusetts
02368;1.0;Massachusetts
02370;1.0;Massachusetts
02375;1.0;Massachusetts
02379;1.0;Massachusetts
02381;1.0;Massachusetts
02382;1.0;Massachusetts
02420;1.0;Massachusetts
02421;1.0;Massachusetts
02445;1.0;Massachusetts
02446;1.0;Massachusetts
02447;1.0;Massachusetts
02451;1.0;Massachusetts
02452;1.0;Massachusetts
02453;1.0;Massachusetts
02454;1.0;Massachusetts
02455;1.0;Massachusetts
02456;1.0;Massachusetts
02457;1.0;Massachusetts
02458;1.0;Massachusetts
02459;1.0;Massachusetts
02460;1.0;Massachusetts
02461;1.0;Massachusetts
02462;1.0;Massachusetts
02464;1.0;Massachusetts
02465;1.0;Massachusetts
02466;1.0;Massachusetts
02467;1.0;Massachusetts
02468;1.0;Massachusetts
02471;1.0;Massachusetts
02472;1.0;Massachusetts
02474;1.0;Massachusetts
02475;1.0;Massachusetts
02476;1.0;Massachusetts
02477;1.0;Massachusetts
02478;1.0;Massachusetts
02479;1.0;Massachusetts
02481;1.0;Massachusetts
02482;1.0;Massachusetts
02492;1.0;Massachusetts
02493;1.0;Massachusetts
02494;1.0;Massachusetts
02495;1.0;Massachusetts
02532;1.0;Massachusetts
02534;1.0;Massachusetts
02535;10.6;Massachusetts
02536;1.0;Massachusetts
02537;1.0;Massachusetts
02538;1.0;Massachusetts
02539;10.6;Massachusetts
02540;1.0;Massachusetts
02541;1.0;Massachusetts
02542;1.0;Massachusetts
02543;1.0;Massachusetts
02552;10.6;Massachusetts
02553;1.0;Massachusetts
02554;7.0;Massachusetts
02556;1.0;Massachusetts
02557;7.0;Massachusetts
02558;1.0;Massachusetts
02559;1.0;Massachusetts
02561;1.0;Massachusetts
02562;1.0;Massachusetts
02563;1.0;Massachusetts
02564;7.0;Massachusetts
02565;1.0;Massachusetts
02568;7.0;Massachusetts
02571;1.0;Massachusetts
02573;7.0;Massachusetts
02574;1.0;Massachusetts
02575;10.6;Massachusetts
02576;1.0;Massachusetts
02584;7.0;Massachusetts
02601;1.0;Massachusetts
02630;1.0;Massachusetts
02631;1.0;Massachusetts
02632;1.0;Massachusetts
02633;1.0;Massachusetts
02634;1.0;Massachusetts
02635;1.0;Massachusetts
02636;1.0;Massachusetts
02637;1.0;Massachusetts
02638;1.0;Massachusetts
02639;1.0;Massachusetts
02641;1.0;Massachusetts
02642;1.0;Massachusetts
02643;1.0;Massachusetts
02644;1.0;Massachusetts
02645;1.0;Massachusetts
02646;1.0;Massachusetts
02647;1.0;Massachusetts
02648;1.0;Massachusetts
02649;1.0;Massachusetts
02650;1.0;Massachusetts
02651;1.0;Massachusetts
02652;2.0;Massachusetts
02653;1.0;Massachusetts
02655;1.0;Massachusetts
02657;7.3;Massachusetts
02659;1.0;Massachusetts
02660;1.0;Massachusetts
02661;1.0;Massachusetts
02662;1.0;Massachusetts
02663;2.0;Massachusetts
02664;1.0;Massachusetts
02666;2.0;Massachusetts
02667;2.0;Massachusetts
02668;1.0;Massachusetts
02669;1.0;Massachusetts
02670;1.0;Massachusetts
02671;1.0;Massachusetts
02672;1.0;Massachusetts
02673;1.0;Massachusetts
02675;1.0;Massachusetts
02702;1.0;Massachusetts
02703;1.0;Massachusetts
02712;1.0;Massachusetts
02713;10.6;Massachusetts
02714;1.0;Massachusetts
02715;1.0;Massachusetts
02717;1.0;Massachusetts
02718;1.0;Massachusetts
02719;1.0;Massachusetts
02720;1.0;Massachusetts
02721;1.0;Massachusetts
02722;1.0;Massachusetts
02723;1.0;Massachusetts
02724;1.0;Massachusetts
02725;1.0;Massachusetts
02726;1.0;Massachusetts
02738;1.0;Massachusetts
02739;1.0;Massachusetts
02740;1.0;Massachusetts
02741;1.0;Massachusetts
02742;1.0;Massachusetts
02743;1.0;Massachusetts
02744;1.0;Massachusetts
02745;1.0;Massachusetts
02746;1.0;Massachusetts
02747;1.0;Massachusetts
02748;1.0;Massachusetts
02760;1.0;Massachusetts
02761;1.0;Massachusetts
02762;1.0;Massachusetts
02763;1.0;Massachusetts
02764;1.0;Massachusetts
02766;1.0;Massachusetts
02767;1.0;Massachusetts
02768;1.0;Massachusetts
02769;2.1;Massachusetts
02770;2.1;Massachusetts
02771;1.0;Massachusetts
02777;1.0;Massachusetts
02779;1.0;Massachusetts
02780;1.0;Massachusetts
02783;1.0;Massachusetts
02790;1.0;Massachusetts
02791;1.0;Massachusetts
02801;2.0;Rhode Island
02802;1.0;Rhode Island
02804;3.0;Rhode Island
02806;1.0;Rhode Island
02807;2.0;Rhode Island
02808;4.1;Rhode Island
02809;1.0;Rhode Island
02812;2.0;Rhode Island
02813;2.0;Rhode Island
02814;2.0;Rhode Island
02815;2.0;Rhode Island
02816;1.0;Rhode Island
02817;2.0;Rhode Island
02818;1.0;Rhode Island
02822;2.0;Rhode Island
02823;1.0;Rhode Island
02824;1.0;Rhode Island
02825;2.0;Rhode Island
02826;1.0;Rhode Island
02827;2.0;Rhode Island
02828;1.0;Rhode Island
02829;2.0;Rhode Island
02830;1.0;Rhode Island
02831;1.0;Rhode Island
02832;3.0;Rhode Island
02833;3.0;Rhode Island
02835;1.0;Rhode Island
02836;2.0;Rhode Island
02837;2.0;Rhode Island
02838;1.0;Rhode Island
02839;1.0;Rhode Island
02840;1.0;Rhode Island
02841;1.0;Rhode Island
02842;1.0;Rhode Island
02852;1.0;Rhode Island
02854;1.0;Rhode Island
02857;2.0;Rhode Island
02858;1.0;Rhode Island
02859;1.0;Rhode Island
02860;1.0;Rhode Island
02861;1.0;Rhode Island
02862;1.0;Rhode Island
02863;1.0;Rhode Island
02864;1.0;Rhode Island
02865;1.0;Rhode Island
02871;1.0;Rhode Island
02872;1.0;Rhode Island
02873;3.0;Rhode Island
02874;1.0;Rhode Island
02875;2.0;Rhode Island
02876;1.0;Rhode Island
02877;2.0;Rhode Island
02878;1.0;Rhode Island
02879;1.0;Rhode Island
02880;1.0;Rhode Island
02881;1.0;Rhode Island
02882;1.0;Rhode Island
02883;1.0;Rhode Island
02885;1.0;Rhode Island
02886;1.0;Rhode Island
02887;1.0;Rhode Island
02888;1.0;Rhode Island
02889;1.0;Rhode Island
02891;4.1;Rhode Island
02892;2.0;Rhode Island
02893;1.0;Rhode Island
02894;2.0;Rhode Island
02895;1.0;Rhode Island
02896;1.0;Rhode Island
02898;2.0;Rhode Island
02901;1.0;Rhode Island
02902;1.0;Rhode Island
02903;1.0;Rhode Island
02904;1.0;Rhode Island
02905;1.0;Rhode Island
02906;1.0;Rhode Island
02907;1.0;Rhode Island
02908;1.0;Rhode Island
02909;1.0;Rhode Island
02910;1.0;Rhode Island
02911;1.0;Rhode Island
02912;1.0;Rhode Island
02914;1.0;Rhode Island
02915;1.0;Rhode Island
02916;1.0;Rhode Island
02917;1.0;Rhode Island
02918;1.0;Rhode Island
02919;1.0;Rhode Island
02920;1.0;Rhode Island
02921;1.0;Rhode Island
02940;1.0;Rhode Island
03031;1.0;New Hampshire
03032;1.0;New Hampshire
03033;2.1;New Hampshire
03034;2.1;New Hampshire
03036;2.0;New Hampshire
03037;3.0;New Hampshire
03038;1.0;New Hampshire
03040;2.1;New Hampshire
03041;1.0;New Hampshire
03042;2.0;New Hampshire
03043;3.0;New Hampshire
03044;2.0;New Hampshire
03045;1.0;New Hampshire
03046;2.0;New Hampshire
03047;3.0;New Hampshire
03048;2.1;New Hampshire
03049;2.1;New Hampshire
03051;1.0;New Hampshire
03052;1.0;New Hampshire
03053;1.0;New Hampshire
03054;1.0;New Hampshire
03055;1.0;New Hampshire
03057;2.1;New Hampshire
03060;1.0;New Hampshire
03061;1.0;New Hampshire
03062;1.0;New Hampshire
03063;1.0;New Hampshire
03064;1.0;New Hampshire
03070;2.1;New Hampshire
03071;10.4;New Hampshire
03073;1.0;New Hampshire
03076;1.0;New Hampshire
03077;2.0;New Hampshire
03079;1.0;New Hampshire
03082;2.1;New Hampshire
03084;10.4;New Hampshire
03086;2.0;New Hampshire
03087;1.0;New Hampshire
03101;1.0;New Hampshire
03102;1.0;New Hampshire
03103;1.0;New Hampshire
03104;1.0;New Hampshire
03105;1.0;New Hampshire
03106;1.0;New Hampshire
03107;1.0;New Hampshire
03108;1.0;New Hampshire
03109;1.0;New Hampshire
03110;1.0;New Hampshire
03111;1.0;New Hampshire
03215;9.0;New Hampshire
03216;6.0;New Hampshire
03217;10.6;New Hampshire
03218;6.0;New Hampshire
03220;5.0;New Hampshire
03221;10.5;New Hampshire
03222;10.5;New Hampshire
03223;9.0;New Hampshire
03224;5.0;New Hampshire
03225;6.0;New Hampshire
03226;6.0;New Hampshire
03227;10.0;New Hampshire
03229;5.0;New Hampshire
03230;10.5;New Hampshire
03231;6.0;New Hampshire
03233;10.0;New Hampshire
03234;5.2;New Hampshire
03235;4.0;New Hampshire
03237;6.0;New Hampshire
03238;10.6;New Hampshire
03240;6.0;New Hampshire
03241;5.0;New Hampshire
03242;10.5;New Hampshire
03243;10.5;New Hampshire
03244;7.4;New Hampshire
03245;7.0;New Hampshire
03246;4.0;New Hampshire
03247;4.0;New Hampshire
03249;4.0;New Hampshire
03251;10.6;New Hampshire
03252;4.0;New Hampshire
03253;10.5;New Hampshire
03254;10.5;New Hampshire
03255;10.5;New Hampshire
03256;6.0;New Hampshire
03257;10.0;New Hampshire
03258;5.2;New Hampshire
03259;10.0;New Hampshire
03260;5.0;New Hampshire
03261;6.0;New Hampshire
03262;10.6;New Hampshire
03263;5.0;New Hampshire
03264;7.0;New Hampshire
03266;9.0;New Hampshire
03268;6.0;New Hampshire
03269;6.0;New Hampshire
03272;10.5;New Hampshire
03273;5.0;New Hampshire
03274;9.0;New Hampshire
03275;4.2;New Hampshire
03276;4.0;New Hampshire
